Unnamed: 0;filename;DISORDER;core_All_Metals;core_Open_Metal_Sites;temperature_Celsius;time_h;Yield_Percent;metal_ele1;metal_os1;metal_ele2;metal_os2;metal_ele3;metal_os3;metal_ele4;metal_os4;metal_ele5;metal_os5;solvent1;solvent2;solvent3;solvent4;solvent5;additive1;additive2;additive3;additive4;additive5;other1;other2;other3;other4;other5;other6;other7;other8
772;WURNOO_clean;;Cu; ;180;312;40;Cu;2;;;;;;;;;962;;;;;6417;;;;;;;;;;;;
776;UCOCUM_neutral;;Cu;Cu;200;16;25;Cu;2;;;;;;;;;962;;;;;60966;;;;;;;;;;;;
777;PENXUC_clean;;V;V;200;48;55;V;3;;;;;;;;;962;;;;;14917;;;;;;;;;;;;
780;HAWREE_clean;;Mn; ;200;72;33;Mn;2;;;;;;;;;6228;702;;;;;;;;;;;;;;;;
781;AXOHIE_clean;;Cd; ;200;96;39;Cd;2;;;;;;;;;962;;;;;2723922;;;;;;;;;;;;
783;XUGWAZ_clean;;Dy; ;200;240;33;Dy;3;;;;;;;;;962;;;;;;;;;;;;;;;;;
784;UTULUR_SL_part;;In; ;210;24;;In;3;;;;;;;;;962;;;;;;;;;;;;;;;;;
786;SAMXUC_clean;DISORDER;Sm; ;210;120;;Sm;3;;;;;;;;;962;;;;;;;;;;;;;;;;;
787;TEQVOC_clean;DISORDER;Ba,Zn;Ba,Zn;210;120;∼60;Ba;2;Zn;2;;;;;;;962;;;;;14923;;;;;;;;;;;;
788;MAYJOM_clean;;In; ;220;72;;In;3;;;;;;;;;962;;;;;14917;;;;;;;;;;;;
789;PUWXAH_clean;;Mn; ;220;72;52.8;Mn;2;;;;;;;;;962;;;;;14798;;;;;;;;;;;;
790;CABQEB_clean;;Co; ;255;120;85;Co;2;;;;;;;;;962;8028;;;;;;;;;;;;;;;;
791;DACSAE_clean;DISORDER;Cu;Cu;80;12;44;Cu;2;;;;;;;;;6228;887;962;;;313;;;;;;;;;;;;
792;DEJCEB_clean;;Zn;Zn;85;12;;Zn;2;;;;;;;;;6228;702;1049;;;;;;;;;;;;;;;
793;FUTTIZ_clean;;Zn;Zn;85;16;;Zn;2;;;;;;;;;6228;962;;;;;;;;;;;;;;;;
794;EHUSUX_clean;DISORDER;Cu;Cu;90;16;80;Cu;2;;;;;;;;;6228;962;;;;313;;;;;;;;;;;;
795;APUPEH_clean;;Cu;Cu;65;24;35;Cu;2;;;;;;;;;12051;887;949;;;;;;;;;;;;;;;
796;FUWQIZ_clean;DISORDER;Cu;Cu;80;24;68;Cu;2;;;;;;;;;6228;962;;;;313;;;;;;;;;;;;
797;HUNCIE_clean;DISORDER;Cu;Cu;80;24;;Cu;2;;;;;;;;;31374;962;;;;944;;;;;;;;;;;;
798;AJINOY_clean;;Cu;Cu;85;24;46;Cu;2;;;;;;;;;962;;;;;14798;;;;;;;;;;;;
799;EBAMUS_clean;;Cu;Cu;85;24;;Cu;2;;;;;;;;;6228;962;;;;;;;;;;;;;;;;
800;FATQID_clean;;Cu;Cu;85;24;;Cu;2;;;;;;;;;6228;;;;;944;;;;;;;;;;;;
801;NAWXER_clean;;Zn;Zn;85;24;;Zn;2;;;;;;;;;6228;702;;;;944;;;;;;;;;;;;
802;GAHWIX_clean;;Zn;Zn;95;24;83;Zn;2;;;;;;;;;6228;;;;;;;;;;;;;;;;;
803;LUPYAX_clean;;Zn;Zn;100;24;;Zn;2;;;;;;;;;6228;;;;;;;;;;;;;;;;;
804;OVUVIL_clean;DISORDER;Zn;Zn;110;24;;Zn;2;;;;;;;;;6228;;;;;;;;;;;;;;;;;
805;CAGSAG_clean;;Zn;Zn;120;24;80;Zn;2;;;;;;;;;6228;;;;;;;;;;;;;;;;;
808;QAKFIU_clean;;Zn;Zn;80;36;54;Zn;2;;;;;;;;;6228;962;;;;944;;;;;;;;;;;;
811;KIJRUS_clean;;Cu;Cu;60;48;;Cu;2;;;;;;;;;6228;962;;;;313;;;;;;;;;;;;
812;MOYYEF_clean;;Cu;Cu;60;48;80;Cu;2;;;;;;;;;6228;702;962;;;;;;;;;;;;;;;
813;BIDPOV_clean;;Cu;Cu;65;48;;Cu;2;;;;;;;;;6228;;;;;944;;;;;;;;;;;;
814;FAGREM_clean;;Zn;Zn;65;48;;Zn;2;;;;;;;;;12051;962;702;;;;;;;;;;;;;;;
815;ONIXOZ_clean;;Cu;Cu;65;48;69;Cu;2;;;;;;;;;6228;;;;;28118;;;;;;;;;;;;
816;WARXUL_clean;DISORDER;Cu;Cu;65;48;72;Cu;2;;;;;;;;;6228;962;;;;944;;;;;;;;;;;;
817;LUSYEF_clean;;Cu;Cu;70;48;75;Cu;2;;;;;;;;;6228;962;;;;944;;;;;;;;;;;;
818;PELRIJ_clean;;Cu;Cu;70;48;;Cu;2;;;;;;;;;6228;;;;;944;;;;;;;;;;;;
819;VIXPUP_clean;DISORDER;Cu;Cu;75;48;∼70;Cu;2;;;;;;;;;6228;702;962;;;944;;;;;;;;;;;;
820;FIHHOV_clean;DISORDER;Zn;Zn;80;48;10;Zn;2;;;;;;;;;6228;702;;;;944;;;;;;;;;;;;
822;NUBPIL_clean;;Cu;Cu;80;48;67;Cu;2;;;;;;;;;6228;962;;;;313;;;;;;;;;;;;
823;PEZCII_clean;;La;La;80;48;63;La;3;;;;;;;;;6228;887;962;;;;;;;;;;;;;;;
825;UXOHOG_clean;DISORDER;Cu;Cu;80;48;;Cu;2;;;;;;;;;31374;887;962;;;;;;;;;;;;;;;
826;JAJZAY_clean;DISORDER;Zn;Zn;85;48;63;Zn;2;;;;;;;;;6228;6342;;;;;;;;;;;;;;;;
827;NORPIV_clean;DISORDER;Zn;Zn;90;48;;Zn;2;;;;;;;;;6228;962;;;;944;;;;;;;;;;;;
829;IGINIX_clean;;Zn;Zn;100;48;95;Zn;2;;;;;;;;;6228;;;;;;;;;;;;;;;;;
830;IZEWAN_clean;;Zn;Zn;100;48;∼70;Zn;2;;;;;;;;;31275;962;;;;;;;;;;;;;;;;
833;MUZHUL_charged;;Zn;Zn;110;48;78;Zn;2;;;;;;;;;6228;;;;;;;;;;;;;;;;;
834;CIQQIE_clean;DISORDER;La;La;120;48;62;La;3;;;;;;;;;6228;;;;;243;;;;;;;;;;;;
837;LUMZEA_clean;;Cu;Cu;120;50;;Cu;2;;;;;;;;;962;;;;;;;;;;;;;;;;;
838;HOXSIY_clean;;Zn;Zn;100;60;;Zn;2;;;;;;;;;31374;962;;;;;;;;;;;;;;;;
840;GEGDED_clean;;Cu;Cu;60;72;;Cu;2;;;;;;;;;962;6228;;;;28118;;;;;;;;;;;;
843;ODUNEH_clean;;Zn;Zn;60;72;65;Zn;2;;;;;;;;;6228;702;;;;7912;;;;;;;;;;;;
844;DICKEH_clean;;Cu;Cu;65;72;73;Cu;2;;;;;;;;;6228;962;;;;28118;;;;;;;;;;;;
846;SITFUY_clean;DISORDER;Cu;Cu;65;72;73;Cu;2;;;;;;;;;6228;702;;;;;;;;;;;;;;;;
847;OGOJAX_clean;DISORDER;Cu;Cu;70;72;;Cu;2;;;;;;;;;6228;;;;;944;;;;;;;;;;;;
